url,Datetime,Tweet Id,Text,Retweet Count,Reply Count,Like Count,Username,Display Name,Followers Count,Friends Count,Rendered Content,Day,Month,Year
https://twitter.com/EDF_Renewables/status/1092543427684823040,2019-02-04 22:00:26+00:00,1092543427684823040,Did you catch @Budweiser's ad during yesterday's #SuperBowl? Their beer is now brewed with 100% #windpower! ICYMI: https://t.co/BwoKVu1I5O,1,0,5,EDF_Renewables,EDF Renewables,12453,1919,Did you catch @Budweiser's ad during yesterday's #SuperBowl? Their beer is now brewed with 100% #windpower! ICYMI: bit.ly/2DQ4NPS,4,2,2019
https://twitter.com/clearenergy/status/1092543321619214336,2019-02-04 22:00:01+00:00,1092543321619214336,"Despite what #Budweiser would like for you to believe, #windpower is expensive, inefficient, and bad for the environment. Click here to see CEA’s take on Budweiser’s virtue signaling #SuperBowl ad https://t.co/m8ebHj62ZB https://t.co/NhXe84PfDr",10,1,8,clearenergy,Clear Energy Alliance,1398,657,"Despite what #Budweiser would like for you to believe, #windpower is expensive, inefficient, and bad for the environment. Click here to see CEA’s take on Budweiser’s virtue signaling #SuperBowl ad youtube.com/watch?v=Xjub6B… https://t.co/NhXe84PfDr",4,2,2019
https://twitter.com/EnvDefenseFund/status/1092506580409638912,2019-02-04 19:34:01+00:00,1092506580409638912,This #SuperBowl ad shows Budweiser's beer is made with the planet in mind. https://t.co/MU4MOyqk2h,2,0,12,EnvDefenseFund,EDF,211133,4096,This #SuperBowl ad shows Budweiser's beer is made with the planet in mind. edf.org/9u7,4,2,2019
https://twitter.com/jakirk10043/status/1092501898509340672,2019-02-04 19:15:24+00:00,1092501898509340672,@ChartiBe @Nice_White_Lady Umm lmao she did a whole ass NFL superbowl concert sponsored by Budweiser... tickets were over $200 and she ain't do it for free.... your fave is just as problematic as everybody else. https://t.co/mmnca4yOf4,2,1,4,jakirk10043,I ain't got a clue what to put here...,118,706,"@ChartiBe @Nice_White_Lady Umm lmao she did a whole ass NFL superbowl concert sponsored by Budweiser... tickets were over $200 and she ain't do it for free.... your fave is just as problematic as everybody else.
people.com/music/super-bo…",4,2,2019
https://twitter.com/EcoWatch/status/1092493274194030593,2019-02-04 18:41:08+00:00,1092493274194030593,"Budweiser's parent company is continuing to associate with groups with anti-climate agendas and ties to dark money, despite several ads aired during the Super Bowl touting an eco image. https://t.co/fAQqeTp0oy #SuperBowl",21,5,29,EcoWatch,EcoWatch,232220,8274,"Budweiser's parent company is continuing to associate with groups with anti-climate agendas and ties to dark money, despite several ads aired during the Super Bowl touting an eco image. ecowatch.com/budweiser-adve… #SuperBowl",4,2,2019
https://twitter.com/latimesent/status/1092493020602208261,2019-02-04 18:40:08+00:00,1092493020602208261,Did you know the Budweiser #Superbowl commercial was shot just an hour outside of L.A.? And you've definitely seen it before. https://t.co/QxueHIM9dM,1,1,2,latimesent,LAT Entertainment,168304,1467,Did you know the Budweiser #Superbowl commercial was shot just an hour outside of L.A.? And you've definitely seen it before. lat.ms/2HSLDN9,4,2,2019
https://twitter.com/YeshSays/status/1092486192422113280,2019-02-04 18:13:00+00:00,1092486192422113280,@Budweiser's #SuperBowl ad shows its beer is made with the planet in mind. A proud moment for corporate climate leadership by @abinbev. Here I share more ways the company is taking action: https://t.co/RK6c8GppV4 #EDFCC #SBLIII @EDFbiz,1,0,0,YeshSays,Yesh Pavlik Slenk,876,1014,@Budweiser's #SuperBowl ad shows its beer is made with the planet in mind. A proud moment for corporate climate leadership by @abinbev. Here I share more ways the company is taking action: edf.org/98t #EDFCC #SBLIII @EDFbiz,4,2,2019
https://twitter.com/EnvDefenseFund/status/1092475877525516299,2019-02-04 17:32:01+00:00,1092475877525516299,"ICYMI: Wind turbines made an appearance alongside Budweiser’s iconic Clydesdales in its #SuperBowl ad this year, showcasing the company’s commitment to clean energy. https://t.co/TGQC2k3VCL",10,3,31,EnvDefenseFund,EDF,211133,4096,"ICYMI: Wind turbines made an appearance alongside Budweiser’s iconic Clydesdales in its #SuperBowl ad this year, showcasing the company’s commitment to clean energy. edf.org/9uh",4,2,2019
https://twitter.com/tejonranch/status/1092465151175909376,2019-02-04 16:49:23+00:00,1092465151175909376,Did you watch yesterday's #SuperBowl &amp; the commercials? We're glad to say yet another stellar commercial was shot here at Tejon Ranch. Kudos to #Budweiser for the inspiring ad. https://t.co/4bsgGUUxjw,2,1,10,tejonranch,Tejon Ranch,2554,632,Did you watch yesterday's #SuperBowl &amp; the commercials? We're glad to say yet another stellar commercial was shot here at Tejon Ranch. Kudos to #Budweiser for the inspiring ad. latimes.com/business/holly…,4,2,2019
https://twitter.com/CountyofKern/status/1092461814334468096,2019-02-04 16:36:08+00:00,1092461814334468096,Did you catch this #SuperBowl Commercial?!?! This was filmed right here in #KernCounty at @tejonranch. 😊#BudweiserClydesdales #Commercials #Budweiser https://t.co/VMvFi25gjy,2,0,12,CountyofKern,County of Kern,3718,504,Did you catch this #SuperBowl Commercial?!?! This was filmed right here in #KernCounty at @tejonranch. 😊#BudweiserClydesdales #Commercials #Budweiser twitter.com/tejonranch/sta…,4,2,2019
